CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.9121,13.5743,13.2432
,,,,,,,
ZAR,,18.4006,18.4130,1 8.40680,1.3555,1.4260,1.3908
GBP,*,1.2741,1.2742,1 .27415,16.4513,17.2963,16.8738
JPY,,156.7400,156.7700,1 56.75500,11.5468,12.1413,11.8441
ZMW/ZMK,,26.7000,26.7500,2 6.72500,1.9669,2.0717,2.0193
BWP,,0.0735,0.0736,0 .07355,0.9490,0.9990,0.9740
CHF,,0.9140,0.9145,0 .91425,11.8016,12.4136,12.1076
MWK,,1716.7300,1750.0300,"1 ,733.38000",126.4691,135.5341,131.0016
AUD,*,0.6633,0.6635,0 .66340,8.5645,9.0065,8.7855
SDR,*,1.323360,1.323360,1 .32336,17.5255,17.5255,17.5255
MZN/MET,,63.2500,63.9100,6 3.58000,4.6595,4.9496,4.8046
NOK,,10.5762,10.5808,1 0.57850,0.7791,0.8194,0.7993
SEK,,10.6530,10.6575,1 0.65525,0.7847,0.8253,0.8050
CAD,*,1.3665,1.3666,1 .36655,0.1006,0.1058,0.1032
EUR,*,1.0848,1.0849,1 .08485,14.0070,14.7267,14.3669
CNY,,7.2451,7.2452,7 .24515,0.5337,0.5611,0.5474
INR,,83.0620,83.0720,8 3.06700,6.1190,6.4336,6.2763
NZD,*,0.6127,0.6131,0 .61290,7.9112,8.3224,8.1168
DKK,,6.8764,6.8774,6 .87690,0.5065,0.5326,0.5196
XAU,,2342.8800,2343.3900,"2,343.13500",30251.5008,31809.8788,31030.6898
AFN,,71.7200,71.9200,7 1.82000,5.2835,5.5699,5.4267
THB,,36.5300,36.5800,3 6.55500,2.6911,2.8330,2.7621
ETB,,57.0253,57.8903,5 7.45780,4.2009,4.4834,4.3422
SZL,,18.4041,18.4100,1 8.40705,1.3558,1.4257,1.3908
MUR,,46.1200,46.4200,4 6.27000,3.3975,3.5950,3.4963
MYR,,4.7040,4.7080,4 .70600,0.3465,0.3646,0.3556
LSL,,18.3820,18.4113,1 8.39665,1.3541,1.4258,1.3900
CYP,*,0.3975,0.3980,0 .39775,0.0292,0.0308,0.0300
EGP,,46.9500,47.0500,4 7.00000,3.4587,3.6438,3.5513
BRL,,5.1707,5.1719,5 .17130,0.3809,0.4005,0.3907
TZS,,2593.0000,2605.0000,"2,599.00000",191.0227,201.7487,196.3857
RUB,,89.5375,89.5575,8 9.54750,6.5961,6.9359,6.7660
KES,,132.5000,133.5000,1 33.00000,9.7610,10.3391,10.0501
DEM,,2.2150,2.2175,2 .21625,0.1631,0.1717,0.1674
ESP,,188.4300,188.6500,1 88.54000,13.8813,14.6103,14.2458
ITL,,2192.8300,2195.3200,"2,194.07500",161.5427,170.0203,165.7815
FRF,,7.4287,7.4372,7 .43295,0.5472,0.5759,0.5616
HKD,,7.7495,7.8112,7 .78035,0.5708,0.6049,0.5879
ARS,,890.5000,891.0000,8 90.75000,65.6019,69.0050,67.3035
XAF,,604.5600,607.1600,6 05.86000,44.5371,47.0225,45.7798
